TIME,POWER(WATTS),CPULOAD(PERCENT),MEMUSED(MB),MEMFREE(MB)
1700657767,109,0,7845,367069
1700657773,189,0,7846,367068
1700657779,187,0,7847,367067
1700657786,130,0,7849,367066
1700657793,80,0.16,7854,367061
1700657799,254,7.43,8079,366652
1700657805,300,14.36,11295,362927
1700657810,293,20.82,17439,356752
1700657817,303,26.84,17439,356752
1700657823,310,37.47,17704,356487
1700657829,289,42.15,17712,356479
1700657835,284,46.47,17714,356476
1700657840,291,50.43,17717,356473
1700657847,290,54.08,17723,356468
1700657853,280,60.53,17724,356467
1700657859,292,63.29,17733,356457
1700657865,288,65.91,17737,356453
1700657870,293,68.32,17734,356457
1700657877,290,70.53,17740,356451
1700657883,276,74.45,22913,351227
1700657889,442,76.17,23378,350741
1700657895,440,77.76,23373,350744
1700657900,435,79.22,23437,350680
1700657907,450,80.57,23549,350562
1700657913,450,82.72,23597,350504
1700657919,450,83.86,23624,350444
1700657925,475,84.83,23620,350439
1700657930,466,85.73,23626,350431
1700657937,455,86.55,23628,350413
1700657943,428,88.08,23631,350409
1700657949,439,88.71,23629,350401
1700657955,478,89.29,23631,350395
1700657960,466,89.91,23630,350392
1700657967,462,90.4,23629,350390
1700657973,473,91.26,23630,350385
1700657979,471,91.64,23631,350380
1700657985,472,91.83,23633,350379
1700657990,458,92.16,23635,350368
1700657997,466,92.47,23635,350365
1700658003,451,93.01,23638,350360
1700658009,424,93.25,23647,350351
1700658015,466,93.47,23650,350341
1700658020,463,93.67,23654,350337
1700658027,452,93.86,23657,350335
1700658033,466,94.19,23658,350335
1700658039,468,94.41,23657,350320
1700658045,473,94.54,23656,350318
1700658050,469,94.66,23658,350313
1700658057,463,94.77,23661,350312
1700658063,458,94.96,23665,350307
1700658069,424,95.04,23662,350302
1700658075,432,95.12,23665,350297
1700658080,410,95.19,23667,350293
1700658087,466,95.25,23665,350288
1700658093,470,95.37,23665,350288
1700658099,466,95.42,23670,350283
1700658105,469,95.46,23674,350280
1700658110,467,95.51,23675,350281
1700658117,471,95.55,23671,350269
1700658123,468,95.62,23673,350268
1700658129,461,95.65,23676,350263
1700658135,426,95.68,23679,350262
1700658140,429,95.7,23676,350256
1700658146,449,95.72,23682,350247
1700658152,447,95.67,23684,350245
1700658158,451,95.8,23681,350245
1700658164,444,95.74,23682,350243
1700658169,452,95.92,23682,350240
1700658175,439,96.01,23688,350235
1700658181,475,96.01,23682,350237
1700658187,458,96.01,23687,350232
1700658194,429,96.01,23683,350231
1700658199,434,96.01,23682,350232
1700658206,442,96,23694,350221
1700658212,468,95.92,23695,350218
1700658218,469,95.94,23690,350216
1700658224,466,95.94,23691,350214
1700658229,475,95.95,23692,350214
1700658236,463,95.95,23694,350212
1700658242,465,95.95,23696,350210
1700658248,437,95.96,23695,350212
1700658255,465,95.96,23697,350209
1700658260,436,95.97,23697,350209
1700658267,452,95.97,23703,350203
1700658273,464,95.9,23702,350204
1700658279,469,95.99,23703,350188
1700658285,465,95.99,23706,350184
1700658290,472,95.99,23708,350181
1700658297,470,95.99,23710,350178
1700658303,466,95.99,23711,350176
1700658309,453,95.99,23711,350176
1700658315,418,95.99,23713,350166
1700658320,431,95.99,23712,350168
1700658327,436,95.99,23712,350167
1700658333,468,96,23710,350166
1700658339,469,96,23710,350163
1700658345,471,96,23713,350162
1700658350,467,96,23716,350160
1700658357,467,96,23711,350159
1700658364,448,96,23712,350158
1700658370,430,96,23712,350155
1700658376,460,96,23712,350154
1700658381,450,96.08,23712,350152
1700658387,467,96.07,23716,350149
1700658394,455,96.06,23715,350146
1700658399,470,96.05,23716,350146
1700658405,468,96.05,23720,350140
1700658410,471,96.05,23720,350141
1700658417,471,96.04,23717,350142
1700658423,470,96.04,23719,350138
1700658429,469,96.03,23726,350130
1700658435,465,96.03,23723,350130
1700658440,469,96.03,23726,350127
1700658447,438,96.03,23725,350127
1700658453,452,95.94,23724,350127
1700658459,471,95.95,23725,350127
1700658465,473,95.95,23724,350124
1700658470,463,95.95,23723,350124
1700658477,469,95.96,23727,350120
1700658483,476,95.96,23725,350122
1700658489,458,95.97,23725,350121
1700658495,466,95.97,23725,350118
1700658500,456,95.97,23727,350116
1700658507,454,95.97,23728,350115
1700658513,447,95.9,23732,350110
1700658518,406,95.91,23737,350103
1700658524,439,95.92,23738,350102
1700658529,449,95.93,23740,350099
1700658536,476,95.93,23744,350093
1700658542,468,95.94,23745,350092
1700658548,469,95.95,23744,350090
1700658554,469,96.03,23748,350088
1700658559,470,96.03,23752,350084
1700658566,464,96.03,23747,350086
1700658572,463,96.02,23749,350083
1700658578,458,96.09,23750,350080
1700658584,428,96.09,23751,350079
1700658589,435,96.08,23755,350075
1700658596,450,95.99,23752,350076
1700658602,472,95.99,23753,350074
1700658608,467,96,23752,350074
1700658614,468,96,23751,350075
1700658619,470,96,23753,350073
1700658626,468,96,23757,350068
1700658632,469,96,23754,350068
1700658638,471,96,23755,350067
